region,date,mean,median,lower_90,upper_90,lower_50,upper_50
BO,2020-04-20,1.224593869776069,1.2050246204271846,1.011379054787116,1.4520065868229384,1.0835438343384372,1.2533071869552086
BO,2020-04-21,1.2244321720019187,1.2049433279791009,1.0356957230786457,1.4675164638556715,1.0815981820774847,1.2400292737423755
BO,2020-04-22,1.221923591845141,1.201040524521488,1.0151602870028957,1.4351232584742215,1.0858966782660726,1.2470344071288726
BO,2020-04-23,1.222661470140239,1.2020048860900716,1.0196650333412018,1.430485235510716,1.0761632934452183,1.2343281449187204
BO,2020-04-24,1.2235498523500539,1.1984836972088373,1.0267108101275897,1.423563121625651,1.0823805040341916,1.2368805162503265
BO,2020-04-25,1.2242170141994029,1.199448326305701,1.0336397040141256,1.407245048016285,1.091605351076163,1.2389788731272862
BO,2020-04-26,1.2245602466102652,1.1983209846222769,1.041981631715372,1.417429568082621,1.0639664350026954,1.216090052934563
BO,2020-04-27,1.2243019772394808,1.1978002377293189,1.0457046276146753,1.4178328684317016,1.0617345452800233,1.2090893132692457
BO,2020-04-28,1.2219786954055019,1.1903875930337713,1.0455202800100507,1.4158740738692945,1.08191959834654,1.2200076718357031
BO,2020-04-29,1.2163438178894028,1.1901961072936746,1.0363710714564158,1.3940431487561475,1.0769475315734727,1.2189124764757766
BO,2020-04-30,1.211639983896465,1.1881232769345762,1.035941226043578,1.3875633714603937,1.0696776935269956,1.2032271836304973
BO,2020-05-01,1.2049214404288235,1.1818154463714339,1.039059827061661,1.377605102684515,1.079447897319899,1.2082407593493565
BO,2020-05-02,1.1968332497972292,1.1762186588325556,1.0448481202495437,1.3646409982848233,1.091639530322109,1.2162277263050971
BO,2020-05-03,1.1909003057853882,1.1683519427495046,1.026379401146527,1.3521654065151134,1.0684265219443352,1.1909129019731555
BO,2020-05-04,1.193973261234758,1.1680463823061547,1.0356707549273587,1.3653067638985015,1.0792020927425408,1.1995986006519601
BO,2020-05-05,1.191990610699903,1.1703508307226094,1.0322688460297793,1.3642070355688736,1.070576125024517,1.1960024728639485
BO,2020-05-06,1.1900597764383711,1.1695075448056678,1.0357480305840023,1.3542900290570392,1.076507604055782,1.2015563734731485
BO,2020-05-07,1.1841344572539378,1.1610791938974419,1.0224747910917023,1.336701374809695,1.0855499645211066,1.2072967520455542
BO,2020-05-08,1.181529479447486,1.160962936380309,1.027867511552304,1.3388620201204628,1.0785337227503407,1.1977059031384645
BO,2020-05-09,1.1818080219825216,1.1644892842052221,1.0276368238047238,1.3352518086466527,1.0824819927211449,1.2051502377969694
BO,2020-05-10,1.1816108634538538,1.1675719031004235,1.0360225451642933,1.33112921240132,1.0868624952280244,1.2066776456679236
BO,2020-05-11,1.1832624336678894,1.1700200884800966,1.0294779663019331,1.3284834182290095,1.086086482454591,1.2059997553017943
BO,2020-05-12,1.1825040595935257,1.162671160074187,1.0327661635809784,1.3307059217756052,1.0780432386145264,1.1951645369553718
BO,2020-05-13,1.1795532323755835,1.1591805971198141,1.0254669043925537,1.3306195662950588,1.0884126419737883,1.2037141458601448
BO,2020-05-14,1.1776703811295652,1.1554008481393407,1.0295639870929452,1.3340136746866098,1.0840527104061142,1.2015527739360614
BO,2020-05-15,1.17315018931574,1.1527480604048697,1.029930299213261,1.3140478820961285,1.0562438912689747,1.168157450846502
